,home_team,away_team,home_score,away_score,home_penalty,away_penalty,total_goals,Winner,Stage,Year,Date,Host,Venue,Attendance,h_red_card_count,a_red_card_count,h_yellow_red_card_count,a_yellow_red_card_count,h_yellow_card_long_count,a_yellow_card_long_count
120,France,Australia,2,1,,,3,France,Fase de Grupos,2018,2018-06-16,Russia,"Kazan Arena, Kazan",41279,0,0,0,0,1,3
121,Argentina,Iceland,1,1,,,2,Draw,Fase de Grupos,2018,2018-06-16,Russia,"Otkrytie Arena, Moskva",44190,0,0,0,0,0,0
122,Peru,Denmark,0,1,,,1,Denmark,Fase de Grupos,2018,2018-06-16,Russia,"Mordovia Arena, Saransk",40502,0,0,0,0,1,2
123,Croatia,Nigeria,2,0,,,2,Croatia,Fase de Grupos,2018,2018-06-16,Russia,"Kaliningrad Stadium, Kaliningrad",31136,0,0,0,0,2,1
124,Egypt,Uruguay,0,1,,,1,Uruguay,Fase de Grupos,2018,2018-06-15,Russia,"Stadion Central'nyj, Yekaterinburg",27015,0,0,0,0,2,0
125,Morocco,IR Iran,0,1,,,1,IR Iran,Fase de Grupos,2018,2018-06-15,Russia,"Gazprom Arena, Sankt-Petersburg",62548,0,0,0,0,1,3
126,Portugal,Spain,3,3,,,6,Draw,Fase de Grupos,2018,2018-06-15,Russia,"Olimpiyskiy Stadion Fisht, Sochi",43866,0,0,0,0,1,1
127,Russia,Saudi Arabia,5,0,,,5,Russia,Fase de Grupos,2018,2018-06-14,Russia,"Olimpiyskiy stadion Luzhniki, Moskva",78011,0,0,0,0,1,1
128,Germany,Argentina,1,0,,,1,Germany,Final,2014,2014-07-13,Brazil,"Estadio Jornalista Mário Filho, Rio de Janeiro",74738,0,0,0,0,2,2
129,Brazil,Netherlands,0,3,,,3,Netherlands,Terceiro Lugar,2014,2014-07-12,Brazil,"Estádio Nacional de Brasília, Brasília",68034,0,0,0,0,3,2
130,Netherlands,Argentina,0,0,2.0,4.0,0,Argentina,Semi-finais,2014,2014-07-09,Brazil,"Arena Corinthians, São Paulo",63267,0,0,0,0,2,1
131,Brazil,Germany,1,7,,,8,Germany,Semi-finais,2014,2014-07-08,Brazil,"Estádio Governador Magalhães Pinto, Belo Horizonte",58141,0,0,0,0,1,0
132,Argentina,Belgium,1,0,,,1,Argentina,Quartas de Final,2014,2014-07-05,Brazil,"Estádio Nacional de Brasília, Brasília",68551,0,0,0,0,1,2
133,Netherlands,Costa Rica,0,0,4.0,3.0,0,Netherlands,Quartas de Final,2014,2014-07-05,Brazil,"Itaipava Arena Fonte Nova, Salvador",51179,0,0,0,0,2,4
134,France,Germany,0,1,,,1,Germany,Quartas de Final,2014,2014-07-04,Brazil,"Estadio Jornalista Mário Filho, Rio de Janeiro",74240,0,0,0,0,0,2
135,Brazil,Colombia,2,1,,,3,Brazil,Quartas de Final,2014,2014-07-04,Brazil,"Estádio Castelão, Fortaleza",60342,0,0,0,0,2,2
136,Argentina,Switzerland,1,0,,,1,Argentina,Oitavas de Final,2014,2014-07-01,Brazil,"Arena Corinthians, São Paulo",63255,0,0,0,0,3,2
137,Belgium,United States,2,1,,,3,Belgium,Oitavas de Final,2014,2014-07-01,Brazil,"Itaipava Arena Fonte Nova, Salvador",51227,0,0,0,0,1,1
138,France,Nigeria,2,0,,,2,France,Oitavas de Final,2014,2014-06-30,Brazil,"Estádio Nacional de Brasília, Brasília",67882,0,0,0,0,1,0
139,Germany,Algeria,2,1,,,3,Germany,Oitavas de Final,2014,2014-06-30,Brazil,"Estádio José Pinheiro Borba, Porto Alegre",43063,0,0,0,0,1,1
140,Netherlands,Mexico,2,1,,,3,Netherlands,Oitavas de Final,2014,2014-06-29,Brazil,"Estádio Castelão, Fortaleza",58817,0,0,0,0,0,3
141,Costa Rica,Greece,1,1,5.0,3.0,2,Costa Rica,Oitavas de Final,2014,2014-06-29,Brazil,"Itaipava Arena Pernambuco, Recife",41242,0,0,1,0,5,2
142,Brazil,Chile,1,1,3.0,2.0,2,Brazil,Oitavas de Final,2014,2014-06-28,Brazil,"Estádio Governador Magalhães Pinto, Belo Horizonte",57714,0,0,0,0,4,3
143,Colombia,Uruguay,2,0,,,2,Colombia,Oitavas de Final,2014,2014-06-28,Brazil,"Estadio Jornalista Mário Filho, Rio de Janeiro",73804,0,0,0,0,1,3
144,United States,Germany,0,1,,,1,Germany,Fase de Grupos,2014,2014-06-26,Brazil,"Itaipava Arena Pernambuco, Recife",41876,0,0,0,0,2,1
145,Portugal,Ghana,2,1,,,3,Portugal,Fase de Grupos,2014,2014-06-26,Brazil,"Estádio Nacional de Brasília, Brasília",67540,0,0,0,0,1,3
